"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"404","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","118","Avoid excessively long variable names like ocmpo_perceivedSeverity","Naming Rules","LongVariable"
"405","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","118","Found 'DD'-anomaly for variable 'ocmpo_perceivedSeverity' (lines '118'-'124').","Controversial Rules","DataflowAnomalyAnalysis"
"406","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","118","Found 'DD'-anomaly for variable 'ocmpo_perceivedSeverity' (lines '118'-'127').","Controversial Rules","DataflowAnomalyAnalysis"
"407","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","118","Found 'DD'-anomaly for variable 'ocmpo_perceivedSeverity' (lines '118'-'130').","Controversial Rules","DataflowAnomalyAnalysis"
"408","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","118","Found 'DD'-anomaly for variable 'ocmpo_perceivedSeverity' (lines '118'-'133').","Controversial Rules","DataflowAnomalyAnalysis"
"409","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","118","Found 'DD'-anomaly for variable 'ocmpo_perceivedSeverity' (lines '118'-'136').","Controversial Rules","DataflowAnomalyAnalysis"
"410","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","118","Found 'DD'-anomaly for variable 'ocmpo_perceivedSeverity' (lines '118'-'138').","Controversial Rules","DataflowAnomalyAnalysis"
"411","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","120","Avoid calling toString() on String objects; this is unnecessary.","String and StringBuffer Rules","StringToString"
"412","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","120","Local variable 'severityString' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"413","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","124","Found 'DD'-anomaly for variable 'ocmpo_perceivedSeverity' (lines '124'-'141').","Controversial Rules","DataflowAnomalyAnalysis"
"414","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","127","Found 'DD'-anomaly for variable 'ocmpo_perceivedSeverity' (lines '127'-'141').","Controversial Rules","DataflowAnomalyAnalysis"
"415","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","130","Found 'DD'-anomaly for variable 'ocmpo_perceivedSeverity' (lines '130'-'141').","Controversial Rules","DataflowAnomalyAnalysis"
"416","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","133","Found 'DD'-anomaly for variable 'ocmpo_perceivedSeverity' (lines '133'-'141').","Controversial Rules","DataflowAnomalyAnalysis"
"417","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","136","Found 'DD'-anomaly for variable 'ocmpo_perceivedSeverity' (lines '136'-'141').","Controversial Rules","DataflowAnomalyAnalysis"
"418","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","138","Found 'DD'-anomaly for variable 'ocmpo_perceivedSeverity' (lines '138'-'141').","Controversial Rules","DataflowAnomalyAnalysis"
"419","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","142","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"420","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","149","Found 'DD'-anomaly for variable 'ocmpseverity' (lines '149'-'153').","Controversial Rules","DataflowAnomalyAnalysis"
"421","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","149","Found 'DD'-anomaly for variable 'ocmpseverity' (lines '149'-'156').","Controversial Rules","DataflowAnomalyAnalysis"
"422","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","149","Found 'DD'-anomaly for variable 'ocmpseverity' (lines '149'-'159').","Controversial Rules","DataflowAnomalyAnalysis"
"423","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","149","Found 'DD'-anomaly for variable 'ocmpseverity' (lines '149'-'162').","Controversial Rules","DataflowAnomalyAnalysis"
"424","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","149","Found 'DD'-anomaly for variable 'ocmpseverity' (lines '149'-'165').","Controversial Rules","DataflowAnomalyAnalysis"
"425","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","149","Found 'DD'-anomaly for variable 'ocmpseverity' (lines '149'-'169').","Controversial Rules","DataflowAnomalyAnalysis"
"426","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","149","Found 'DD'-anomaly for variable 'ocmpseverity' (lines '149'-'172').","Controversial Rules","DataflowAnomalyAnalysis"
"427","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","151","Avoid calling toString() on String objects; this is unnecessary.","String and StringBuffer Rules","StringToString"
"428","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","151","Unnecessary wrapper object creation","Optimization Rules","UnnecessaryWrapperObjectCreation"
"429","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","153","Found 'DD'-anomaly for variable 'ocmpseverity' (lines '153'-'176').","Controversial Rules","DataflowAnomalyAnalysis"
"430","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","156","Found 'DD'-anomaly for variable 'ocmpseverity' (lines '156'-'176').","Controversial Rules","DataflowAnomalyAnalysis"
"431","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","159","Found 'DD'-anomaly for variable 'ocmpseverity' (lines '159'-'176').","Controversial Rules","DataflowAnomalyAnalysis"
"432","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","162","Found 'DD'-anomaly for variable 'ocmpseverity' (lines '162'-'176').","Controversial Rules","DataflowAnomalyAnalysis"
"433","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","165","Found 'DD'-anomaly for variable 'ocmpseverity' (lines '165'-'176').","Controversial Rules","DataflowAnomalyAnalysis"
"434","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","169","Found 'DD'-anomaly for variable 'ocmpseverity' (lines '169'-'176').","Controversial Rules","DataflowAnomalyAnalysis"
"435","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","172","Found 'DD'-anomaly for variable 'ocmpseverity' (lines '172'-'176').","Controversial Rules","DataflowAnomalyAnalysis"
"436","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","177","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"437","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","346","Avoid excessively long variable names like cpqMeAlarmSeverity","Naming Rules","LongVariable"
"438","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","346","Found 'DD'-anomaly for variable 'cpqMeAlarmSeverity' (lines '346'-'349').","Controversial Rules","DataflowAnomalyAnalysis"
"439","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","346","Found 'DD'-anomaly for variable 'cpqMeAlarmSeverity' (lines '346'-'352').","Controversial Rules","DataflowAnomalyAnalysis"
"440","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","346","Found 'DD'-anomaly for variable 'cpqMeAlarmSeverity' (lines '346'-'355').","Controversial Rules","DataflowAnomalyAnalysis"
"441","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","346","Found 'DD'-anomaly for variable 'cpqMeAlarmSeverity' (lines '346'-'358').","Controversial Rules","DataflowAnomalyAnalysis"
"442","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","346","Found 'DD'-anomaly for variable 'cpqMeAlarmSeverity' (lines '346'-'361').","Controversial Rules","DataflowAnomalyAnalysis"
"443","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","346","Found 'DD'-anomaly for variable 'cpqMeAlarmSeverity' (lines '346'-'364').","Controversial Rules","DataflowAnomalyAnalysis"
"444","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","346","Found 'DD'-anomaly for variable 'cpqMeAlarmSeverity' (lines '346'-'367').","Controversial Rules","DataflowAnomalyAnalysis"
"445","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","3","374","The method 'getmrfperceivedSeverity' has a Cyclomatic Complexity of 10.","Code Size Rules","CyclomaticComplexity"
"446","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","375","Found 'DD'-anomaly for variable 'mrfperceivedSeverity' (lines '375'-'378').","Controversial Rules","DataflowAnomalyAnalysis"
"447","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","375","Found 'DD'-anomaly for variable 'mrfperceivedSeverity' (lines '375'-'381').","Controversial Rules","DataflowAnomalyAnalysis"
"448","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","375","Found 'DD'-anomaly for variable 'mrfperceivedSeverity' (lines '375'-'384').","Controversial Rules","DataflowAnomalyAnalysis"
"449","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","375","Found 'DD'-anomaly for variable 'mrfperceivedSeverity' (lines '375'-'387').","Controversial Rules","DataflowAnomalyAnalysis"
"450","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","375","Found 'DD'-anomaly for variable 'mrfperceivedSeverity' (lines '375'-'390').","Controversial Rules","DataflowAnomalyAnalysis"
"451","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","375","Found 'DD'-anomaly for variable 'mrfperceivedSeverity' (lines '375'-'393').","Controversial Rules","DataflowAnomalyAnalysis"
"452","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","375","Found 'DD'-anomaly for variable 'mrfperceivedSeverity' (lines '375'-'396').","Controversial Rules","DataflowAnomalyAnalysis"
"453","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","375","Found 'DD'-anomaly for variable 'mrfperceivedSeverity' (lines '375'-'399').","Controversial Rules","DataflowAnomalyAnalysis"
"454","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","375","Found 'DD'-anomaly for variable 'mrfperceivedSeverity' (lines '375'-'402').","Controversial Rules","DataflowAnomalyAnalysis"
"455","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/HandleAlarmSeverity.java","5","375","Found 'DD'-anomaly for variable 'mrfperceivedSeverity' (lines '375'-'405').","Controversial Rules","DataflowAnomalyAnalysis"
